"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC"
"Blackhall Mtn","1119	","Wyoming","SNOTEL","Carbon","9820","41.05616","-106.71384","101800020504	"
"Blacks Fork Jct","1162	","Utah","SNOTEL","Summit","8869","40.95814","-110.5828","140401070303	"
"Blacktail Mtn","1144	","Montana","SNOTEL","Flathead","5650","47.98288","-114.3543","170102080302	"
"Blackwater","350	","Wyoming","SNOTEL","Park","9780","44.37667","-109.79333","100800120209	"
"Blazed Alder","351	","Oregon","SNOTEL","Clackamas","3650","45.4287","-121.85605","170800010102	"
"Blewett Pass","352	","Washington","SNOTEL","Chelan","4240","47.35037","-120.6796","170200110501	"
"Blind Bull Sum","353	","Wyoming","SNOTEL","Sublette","8650","42.964","-110.60973","140401010402	"
"Blind Park","354	","South Dakota","SNOTEL","Pennington","6890","44.10772","-103.97688","101201100104	"
"Bloody Dick","355	","Montana","SNOTEL","Beaverhead","7600","45.16507","-113.50099","100200011002	"
"Blue Creek","2135	","Utah","SCAN","Box Elder","5179","41.93531","-112.4336","160203090802	"
"Blue Lakes","356	","California","SNOTEL","Alpine","8067","38.608","-119.92437","180400120101	"
"Blue Mountain Spring","357	","Oregon","SNOTEL","Grant","5870","44.24767","-118.51722","170501160104	"
"Bobs Hollow","1278	","Utah","SNOTEL","Millard","9319","38.94569","-112.15349","160300051401	"
"Bodie Hills","2215	","California","SCAN","Mono","7825","38.26477","-119.12645","160503010104	"
"Bogus Basin","978	","Idaho","SNOTEL","Boise","6340","43.76377","-116.09685","170501220201	"
"Bone Springs Div","358	","Wyoming","SNOTEL","Sheridan","9350","44.67888","-107.5811","100800100102	"
"Bosque Seco","2067	","Puerto Rico","SCAN","Guanica","541","17.96667","-66.86667","210100040109	"
"Bostetter R.S.","359	","Idaho","SNOTEL","Cassia","7500","42.16442","-114.19272","170402120201	"
"Boulder Mountain","360	","Montana","SNOTEL","Meagher","7950","46.5596","-111.28973","100301030501	"
"Bourne","361	","Oregon","SNOTEL","Baker","5850","44.83052","-118.18787","170502030101	"
"Bowman Springs","362	","Oregon","SNOTEL","Umatilla","4530","45.36428","-118.46715","170701030401	"
"Box Canyon","363	","Montana","SNOTEL","Park","6670","45.2719","-110.24903","100700020902	"
"Box Creek","364	","Utah","SNOTEL","Sevier","9853","38.50809","-112.01856","160300020106	"
"Box Springs","1156	","Utah","SNOTEL","Piute","9228","38.49746","-112.00779","160300020107	"
"Brackett Creek","365	","Montana","SNOTEL","Gallatin","7320","45.89107","-110.93851","100700030403	"
"Bragg Farm","2078	","Alabama","SCAN","Madison","798","34.89375","-86.60236","060300020306	"
"Brian Head","1154	","Utah","SNOTEL","Iron","10039","37.67994","-112.85674","160300060201	"
"Brighton","366	","Utah","SNOTEL","Salt Lake","8766","40.59936","-111.58167","160202040201	"
"Bristlecone Trail","1111	","Nevada","SNOTEL","Clark","8890","36.31575","-115.69543","150100150206	"
"Broad Acres","2177	","Alabama","SCAN","Montgomery","269","32.28393","-86.05253","031501100803	"
"Brooklyn Lake","367	","Wyoming","SNOTEL","Albany","10240","41.35885","-106.23209","101800100502	"
"Brown Duck","368	","Utah","SNOTEL","Duchesne","10574","40.58102","-110.58587","140600030604	"
"Brown Top","1080	","Washington","SNOTEL","Whatcom","5830","48.92755","-121.19713","171100050601	"
"Brumley","369	","Colorado","SNOTEL","Lake","10600","39.08766","-106.5417","110200010101	"
"Brundage Reservoir","370	","Idaho","SNOTEL","Adams","6250","45.04315","-116.13253","170602100104	"
"Buck Flat","371	","Utah","SNOTEL","Sanpete","9409","39.134","-111.43722","140600090302	"
"Buck Pasture","1192	","Utah","SNOTEL","Summit","9632","40.84456","-110.66068","140401070301	"
"Buckboard Flat","1153	","Utah","SNOTEL","San Juan","8924","37.86943","-109.44717","140802030103	"
"Buckhorn","2216	","Nevada","SCAN","Washoe","3925","40.87959","-119.9534","180800020104	"
"Buckinghorse","1107	","Washington","SNOTEL","Jefferson","4870","47.7086","-123.45747","171100200501	"
"Buckskin Joe","938	","Colorado","SNOTEL","Park","11150","39.3035","-106.11307","101900010102	"
"Buckskin Lower","373	","Nevada","SNOTEL","Humboldt","6930","41.75067","-117.53182","160401090502	"
"Buffalo Jump","2151	","Utah","SCAN","Rich","6682","41.34363","-111.18798","160101010403	"
"Buffalo Park","913	","Colorado","SNOTEL","Grand","9240","40.22861","-106.59528","140100010706	"
"Bug Lake","374	","Utah","SNOTEL","Rich","7987","41.68541","-111.41987","160102010102	"
"Bumping Ridge","375	","Washington","SNOTEL","Yakima","4610","46.81003","-121.33058","170300020105	"
"Bunchgrass Mdw","376	","Washington","SNOTEL","Pend Oreille","5000","48.68688","-117.17633","170102160401	"
"Burgess Junction","377	","Wyoming","SNOTEL","Sheridan","7880","44.78765","-107.52917","100901010202	"
"Burnside Lake","1051	","California","SNOTEL","Alpine","8129","38.71943","-119.8942","160502010107	"
"Burnt Mountain","942	","Washington","SNOTEL","Pierce","4170","47.0444","-121.94032","171100140103	"
"Burnt Mtn","981	","Montana","SNOTEL","Carbon","5880","45.2401","-109.45961","100700060802	"
"Burro Mountain","378	","Colorado","SNOTEL","Rio Blanco","9400","39.87505","-107.59853","140500050302	"
"Burroughs Creek","379	","Wyoming","SNOTEL","Fremont","8750","43.69733","-109.67021","100800010102	"
"Burts Miller Ranch","1135	","Utah","SNOTEL","Summit","8000","40.98492","-110.85075","160101010105	"
"Bushland #1","2006	","Texas","SCAN","Randall","3820","35.16667","-102.1","111201020301	"
"Butte","380	","Colorado","SNOTEL","Gunnison","10160","38.89433","-106.953","140200010206	"
"Cache Junction","2136	","Utah","SCAN","Cache","4425","41.81568","-111.98043","160102020706	"
"Calamity","1109	","Washington","SNOTEL","Skamania","2500","45.90362","-122.21633","170800020603	"
"Calvert Creek","381	","Montana","SNOTEL","Deer Lodge","6430","45.8838","-113.32553","100200040801	"
"Camas Creek Divide","382	","Idaho","SNOTEL","Elmore","5710","43.26548","-115.3453","170402200101	"
"Camp Jackson","383	","Utah","SNOTEL","San Juan","8858","37.81333","-109.48723","140802010301	"
"Canyon","384	","Wyoming","SNOTEL","Park","7870","44.71961","-110.51084","100700010705	"
"Canyon Lake","1232	","Alaska","SCAN","Bethel","550","59.42425","-161.16354","190305028402	"
"Carrot Basin","385	","Montana","SNOTEL","Gallatin","9000","44.96192","-111.29403","100200080105	"
"Carson Pass","1067	","California","SNOTEL","Alpine","8360","38.6927","-120.0022","180201290101	"
"Cascade","386	","Colorado","SNOTEL","San Juan","8880","37.65083","-107.80602","140801040201	"
"Cascade #2","387	","Colorado","SNOTEL","San Juan","8920","37.658","-107.80268","140801040201	"
"Cascade Mountain","1039	","Utah","SNOTEL","Utah","7774","40.283","-111.60992","160202030505	"
"Cascade Summit","388	","Oregon","SNOTEL","Deschutes","5100","43.59042","-122.0601","170900010301	"
"Casper Mtn.","389	","Wyoming","SNOTEL","Natrona","7900","42.73389","-106.31861","101800070804	"
"Castle Creek","1130	","Wyoming","SNOTEL","Fremont","8400","43.6748","-109.3774","100800010401	"
"Castle Valley","390	","Utah","SNOTEL","Iron","9607","37.66098","-112.74093","160300010201	"
"Cave Mountain","1152	","Nevada","SNOTEL","White Pine","10578","39.16337","-114.6133","160600080402	"
"Cave Valley","2161	","Utah","SCAN","Washington","6273","37.35524","-113.12341","150100080503	"
"Cayuse Pass","1085	","Washington","SNOTEL","Pierce","5240","46.86954","-121.5343","171100140301	"
"Cedar Pass","391	","California","SNOTEL","Modoc","7030","41.58233","-120.3025","180200020603	"
"Centralia Lake","2094	","Kansas","SCAN","Nemaha","1302","39.70045","-96.1629","102702050303	"
"Chalender","1139	","Arizona","SNOTEL","Coconino","7100","35.26247","-112.06231","150602020305	"
"Chalk Creek #1","392	","Utah","SNOTEL","Summit","9171","40.85464","-111.04765","160201010301	"
"Chalk Creek #2","393	","Utah","SNOTEL","Summit","8208","40.88529","-111.06954","160201010301	"
"Chamita","394	","New Mexico","SNOTEL","Rio Arriba","8400","36.95636","-106.65682","130201020204	"
"Chapman Tunnel","1101	","Colorado","SNOTEL","Pitkin","10110","39.26217","-106.62931","140100040504	"
"Charkiln","2145	","Nevada","SCAN","Clark","6683","36.36651","-115.82047","160600150101	"
"Checkers Creek","2213	","Alaska","SCAN","Nome","326","65.403","-164.711","190501050503	"
"Chemult Alternate","395	","Oregon","SNOTEL","Klamath","4850","43.22625","-121.80662","180102010201	"
"Chepeta","396	","Utah","SNOTEL","Duchesne","10499","40.77458","-110.0105","140600031202	"
"Chicken Ridge","2150	","Utah","SCAN","Morgan","7649","41.33136","-111.3036","160201010603	"
"Chisana","1093	","Alaska","SNOTEL","Valdez-Cordova","3320","62.069","-142.049","190803010305	"
"Chocolate Gulch","895	","Idaho","SNOTEL","Blaine","6310","43.7685","-114.41812","170402190301	"
"Cinnabar Park","1046	","Wyoming","SNOTEL","Albany","9574","41.23837","-106.23095","101800100503	"
"Cinnamon Bay","2124	","Virgin Islands","SCAN","St. John","310","18.35","-64.75","210200010201	"
"Circleville","2125	","Utah","SCAN","Piute","6120","38.15133","-112.25122","160300010604	"
"Clackamas Lake","398	","Oregon","SNOTEL","Clackamas","3400","45.09658","-121.75443","170900110301	"
"Clayton Springs","983	","Utah","SNOTEL","Garfield","10049","37.9725","-111.83355","160300020501	"
"Clear Creek #1","399	","Utah","SNOTEL","Utah","8975","39.86671","-111.28363","160202020102	"
"Clear Creek #2","400	","Utah","SNOTEL","Utah","7837","39.89275","-111.25154","160202020102	"
"Clear Lake","401	","Oregon","SNOTEL","Wasco","3810","45.18832","-121.6916","170703060901	"
"Cloud Peak Reservoir","402	","Wyoming","SNOTEL","Johnson","9860","44.40343","-107.06057","100902060301	"
"Clover Meadow","403	","Montana","SNOTEL","Madison","8600","45.01788","-111.8456","100200070803	"
"CMRB LTAR-MO","2195	","Missouri","SCAN","Boone","852","39.2285","-92.11942","071100060102	"
"Cochetopa Pass","1059	","Colorado","SNOTEL","Saguache","10020","38.16283","-106.59883","130100040203	"
"Cochora Ranch","2189	","California","SCAN","San Luis Obispo","2697","35.11807","-119.59608","180600030102	"
"Cold Springs","405	","Wyoming","SNOTEL","Fremont","9630","43.27676","-109.44585","100800010702	"
"Cold Springs Camp","406	","Oregon","SNOTEL","Klamath","5940","42.53305","-122.17683","180102030202	"
"Coldfoot","958	","Alaska","SNOTEL","Yukon-Koyukuk","1040","67.25333","-150.183","190901010604	"
"Cole Canyon","982	","Wyoming","SNOTEL","Crook","5910","44.48632","-104.41057","101202030302	"
"Cole Creek","407	","Montana","SNOTEL","Carbon","7850","45.19405","-109.34548","100700060801	"
"Columbia Basin","1204	","Nevada","SNOTEL","Elko","6471","41.6716","-116.0703","170501050503	"
"Columbine","408	","Colorado","SNOTEL","Jackson","9160","40.3948","-106.60408","101800010102	"
"Columbine Pass","409	","Colorado","SNOTEL","Montrose","9400","38.41795","-108.38249","140200050202	"
"Columbus Basin","904	","Colorado","SNOTEL","La Plata","10785","37.44147","-108.02445","140801050101	"
"Combate","2066	","Puerto Rico","SCAN","Cabo Rojo","33","17.98333","-67.16667","210100040108	"
"Combination","410	","Montana","SNOTEL","Granite","5600","46.46523","-113.39358","170102020401	"
"Conrad Ag Rc","2117	","Montana","SCAN","Pondera","3706","48.30453","-111.92363","100302030705	"
"Cook Farm Field D","2198	","Washington","SCAN","Whitman","2727","46.78373","-117.08008","170601080203	"
"Cool Creek","411	","Idaho","SNOTEL","Clearwater","6280","46.76361","-115.29528","170603070702	"
"Cooper Lake","959	","Alaska","SNOTEL","Kenai Peninsula","1200","60.39027","-149.6936","190203021205	"
"Copeland Lake","412	","Colorado","SNOTEL","Boulder","8600","40.20778","-105.56861","101900050202	"
"Copper Bottom","413	","Montana","SNOTEL","Lewis And Clark","5200","47.05678","-112.595","170102030103	"
"Copper Camp","414	","Montana","SNOTEL","Lewis And Clark","6950","47.08158","-112.72955","170102030103	"
"Copper Mountain","415	","Colorado","SNOTEL","Summit","10550","39.48954","-106.17095","140100020302	"
"Corduroy Flat","1209	","Nevada","SNOTEL","White Pine","8640","38.99651","-115.42478","160600121206	"
"Coronado Trail","416	","Arizona","SNOTEL","Apache","8400","33.80392","-109.15282","150400040501	"
"Corozal","2188	","Puerto Rico","SCAN","Corozal","852","18.31865","-66.36281","210100020104	"
"Corral","1236	","Utah","SNOTEL","Carbon","8207","39.65795","-110.37906","140600070903	"
"Corral Canyon","417	","Nevada","SNOTEL","Elko","8445","40.27551","-115.54017","160401030401	"
"Corral Pass","418	","Washington","SNOTEL","Pierce","5800","47.01872","-121.46464","171100140307	"
"Cottonwood Creek","419	","Wyoming","SNOTEL","Lincoln","7670","42.6459","-110.81482","170401050102	"
"Cougar Mountain","420	","Washington","SNOTEL","King","3200","47.27666","-121.67138","171100130202	"
"County Line","422	","Oregon","SNOTEL","Umatilla","4830","45.19107","-118.55015","170601040202	"
"Cozy Cove","423	","Idaho","SNOTEL","Valley","5400","44.28846","-115.65508","170501200403	"
"CPER","2197	","Colorado","SCAN","Weld","5330","40.8228","-104.71068","101900080301	"
"Crab Creek","424	","Idaho","SNOTEL","Clark","6900","44.437","-111.99384","170402140108	"
"Crater Meadows","425	","Idaho","SNOTEL","Clearwater","5960","46.56394","-115.28903","170603070502	"
"Crazyman Flat","1010	","Oregon","SNOTEL","Klamath","6180","42.6381","-120.94917","180102020101	"
"Crescent Lake #1","2002	","Minnesota","SCAN","Sherburne","980","45.41667","-93.95","070102030503	"
"Crosho","426	","Colorado","SNOTEL","Rio Blanco","9100","40.16745","-107.0575","140500010106	"
"Crossroads","2107	","New Mexico","SCAN","Lea","4055","33.53513","-103.242","120800010103	"
"Crow Creek","1045	","Wyoming","SNOTEL","Albany","8330","41.2287","-105.38278","101900090104	"
"Crowder Flat","977	","California","SNOTEL","Modoc","5170","41.89318","-120.75202","180102040103	"
"Crystal Lake","427	","Montana","SNOTEL","Fergus","6050","46.78942","-109.51205","100401030204	"
"Css Lab","428	","California","SNOTEL","Nevada","6894","39.32565","-120.36807","180201250602	"
"Culebra #2","430	","Colorado","SNOTEL","Costilla","10500","37.20945","-105.19959","130100020902	"
"Cullman-NAHRC","2113	","Alabama","SCAN","Cullman","799","34.19492","-86.79897","031601090104	"
"Cumbres Trestle","431	","Colorado","SNOTEL","Conejos","10040","37.01878","-106.45179","130201020203	"
"Currant Creek","432	","Utah","SNOTEL","Wasatch","7915","40.35747","-111.08993","140600040401	"
"Daisy Peak","919	","Montana","SNOTEL","Meagher","7600","46.66858","-110.33022","100402010106	"
"Daly Creek","433	","Montana","SNOTEL","Ravalli","5780","46.18367","-113.8533","170102050901	"
"Daly Lake","434	","Oregon","SNOTEL","Linn","3690","44.52147","-122.08718","170900060101	"
"Daniels-Strawberry","435	","Utah","SNOTEL","Wasatch","8008","40.2953","-111.25677","140600040101	"
"Darkhorse Lake","436	","Montana","SNOTEL","Beaverhead","8945","45.17367","-113.58448","100200040301	"
"Deadman Creek","437	","Montana","SNOTEL","Meagher","6450","46.79279","-110.67545","100301030401	"
"Deadman Hill","438	","Colorado","SNOTEL","Larimer","10220","40.80571","-105.76993","101900070502	"
"Deadwood Summit","439	","Idaho","SNOTEL","Valley","6860","44.54514","-115.5638","170501200401	"
"Death Valley Jct","2190	","California","SCAN","Inyo","2062","36.32502","-116.35132","180902021504	"
"Dee River Ranch","2174	","Alabama","SCAN","Pickens","160","33.10768","-88.31003","031601060504	"
"Deep Springs","2187	","California","SCAN","Inyo","5399","37.37222","-117.97383","180902010102	"
"Deer Park","923	","Wyoming","SNOTEL","Fremont","9700","42.59076","-108.90273","100800030101	"
"Defiance Mines","1210	","Nevada","SNOTEL","White Pine","9306","39.08527","-114.89971","160600081002	"
"Derr.","440	","Oregon","SNOTEL","Wheeler","5850","44.4465","-119.93012","170703040401	"
"Desert Center","2183	","California","SCAN","Riverside","556","33.80208","-115.30505","181001004703	"
"Dexter","2048	","Missouri","SCAN","Stoddard","305","36.78333","-89.93333","080202040502	"
"Diamond Lake","442	","Oregon","SNOTEL","Douglas","5280","43.18787","-122.14003","171003010204	"
"Diamond Peak","443	","Nevada","SNOTEL","Eureka","8017","39.56361","-115.84421","160600051503	"
"Dills Camp","444	","Utah","SNOTEL","Sanpete","9228","39.04554","-111.46875","140700020201	"
"Disaster Peak","445	","Nevada","SNOTEL","Humboldt","6260","41.96737","-118.18934","160402010201	"
"Dismal Swamp","446	","California","SNOTEL","Modoc","7360","41.99127","-120.18033","171200070304	"
"Divide","448	","Montana","SNOTEL","Madison","7800","44.79317","-112.05645","100200030102	"
"Divide Peak","449	","Wyoming","SNOTEL","Carbon","8880","41.30398","-107.15241","140500030203	"
"Doe Ridge","2191	","California","SCAN","Mono","7340","37.63423","-118.82643","180901020207	"
"Dollarhide Summit","450	","Idaho","SNOTEL","Blaine","8420","43.6025","-114.67417","170402190201	"
"Dome Lake","451	","Wyoming","SNOTEL","Sheridan","8880","44.57462","-107.29537","100901010102	"
"Donkey Reservoir","452	","Utah","SNOTEL","Wayne","9799","38.2084","-111.47412","140700030305	"
"Dorsey Basin","453	","Nevada","SNOTEL","Elko","7903","40.89343","-115.21104","160401010604	"
"Draw Creek","454	","Nevada","SNOTEL","Elko","7285","41.66198","-115.32397","160401010403	"
"Dry Bread Pond","455	","Utah","SNOTEL","Cache","8302","41.41289","-111.5377","160102030101	"
"Dry Creek","1243	","Nevada","SNOTEL","Elko","6555","40.8638","-115.22014","160401010601	"
"Dry Fork","906	","Utah","SNOTEL","Salt Lake","7093","40.56533","-112.17343","160202040106	"
"Dry Lake","457	","Colorado","SNOTEL","Routt","8400","40.53397","-106.7813","140500010409	"
"Dugway","2167	","Utah","SCAN","Tooele","4314","40.16591","-113.02007","160203061009	"
"Dungeness","943	","Washington","SNOTEL","Clallam","4010","47.87224","-123.0788","171100200301	"
"Dupuyer Creek","458	","Montana","SNOTEL","Teton","5750","48.06341","-112.7573","100302010501	"
"Eagle Lake","2192	","California","SCAN","Lassen","5134","40.6175","-120.72472","180800030305	"
"Eagle Summit","960	","Alaska","SNOTEL","Yukon-Koyukuk","3650","65.48588","-145.41212","190804010801	"
"East Boulder Mine","1105	","Montana","SNOTEL","Sweet Grass","6335","45.50381","-110.08019","100700020701	"
"East Rim Divide","460	","Wyoming","SNOTEL","Sublette","7930","43.13097","-110.2023","170401030203	"
"East Willow Creek","461	","Utah","SNOTEL","Grand","8302","39.31213","-109.53179","140600060205	"
"Eastland","2130	","Utah","SCAN","San Juan","6837","37.77853","-109.17193","140802030109	"
"Eastview Farm","2077	","Tennessee","SCAN","Franklin","1054","35.13905","-86.19113","060300030602	"
"Easy Pass","998	","Washington","SNOTEL","Whatcom","5270","48.85933","-121.43895","171100010101	"
"Ebbetts Pass","462	","California","SNOTEL","Alpine","8661","38.5497","-119.80468","160502010104	"
"Echo Lake","936	","Colorado","SNOTEL","Clear Creek","10600","39.65627","-105.59345","101900020801	"
"Echo Peak","463	","California","SNOTEL","El Dorado","7653","38.849","-120.0795","160501010303	"
"EF Blacks Fork GS","1163	","Utah","SNOTEL","Summit","9360","40.88472","-110.54056","140401070302	"
"Eilertson Meadows","464	","Oregon","SNOTEL","Baker","5510","44.86887","-118.11387","170502030404	"
"El Diente Peak","465	","Colorado","SNOTEL","Dolores","10000","37.78617","-108.02155","140300020202	"
"Elbow Lake","910	","Washington","SNOTEL","Whatcom","3040","48.69092","-121.90893","171100040401	"
"Elk Butte","466	","Idaho","SNOTEL","Clearwater","5690","46.83998","-116.12233","170603080701	"
"Elk Cabin","921	","New Mexico","SNOTEL","Santa Fe","8210","35.7043","-105.80675","130202010102	"
"Elk Peak","1106	","Montana","SNOTEL","Meagher","7600","46.4845","-110.7125","100402010203	"
"Elk River","467	","Colorado","SNOTEL","Routt","8700","40.84781","-106.96871","140500010206	"
"Elkhart Park G.S.","468	","Wyoming","SNOTEL","Sublette","9400","43.00657","-109.75893","140401020103	"
"Elkhead Divide","1252	","Colorado","SNOTEL","Routt","8780","40.79649","-107.10122","140500010601	"
"Elliot Ridge","1120	","Colorado","SNOTEL","Summit","10520","39.864","-106.4246","140100020602	"
"Elsberry PMC","2220	","Missouri","SCAN","Lincoln","453","39.15306","-90.78278","071100041104	"
"Emery Creek","469	","Montana","SNOTEL","Flathead","4350","48.43412","-113.93725","170102090703	"
"Emigrant Springs","470	","Oregon","SNOTEL","Umatilla","3800","45.55808","-118.45383","170701030501	"
"Emigrant Summit","471	","Idaho","SNOTEL","Bear Lake","7390","42.36055","-111.56085","160102020206	"
"Enterprise","2128	","Utah","SCAN","Iron","5250","37.63343","-113.64324","160300061307	"
"Ephraim","2126	","Utah","SCAN","Sanpete","5531","39.36798","-111.57803","160300040303	"
"Eros Data Center","2072	","South Dakota","SCAN","Minnehaha","1602","43.73835","-96.61455","101702031402	"
"Essex","2185	","California","SCAN","San Bernardino","2644","34.67235","-115.16693","181001003308	"
"Esther Island","1071	","Alaska","SNOTEL","Valdez-Cordova","50","60.798","-148.0857","190202011605	"
"Evening Star","472	","Wyoming","SNOTEL","Park","9200","44.65258","-109.78422","100700060301	"
"Everglades ARS","2051	","Florida","SCAN","Dade","9","25.5","-80.55","030902061603	"
"Exit Glacier","1092	","Alaska","SNOTEL","Kenai Peninsula","400","60.19033","-149.62117","190202020508	"
"Fairbanks F.O.","1174	","Alaska","SNOTEL","Fairbanks North Star","450","64.85","-147.8","190803060907	"
"Fallen Leaf","473	","California","SNOTEL","El Dorado","6242","38.93403","-120.0545","160501010401	"
"Farmington","474	","Utah","SNOTEL","Davis","7902","40.97462","-111.80975","160201020502	"
"Farmington Lower","1054	","Utah","SNOTEL","Davis","6779","40.992","-111.81702","160201020502	"
"Farnsworth Lake","475	","Utah","SNOTEL","Sevier","9623","38.77246","-111.67662","160300030405	"
"Fawn Creek","476	","Nevada","SNOTEL","Elko","7031","41.82098","-116.10153","170501040304	"
"Fielding Lake","1268	","Alaska","SNOTEL","Valdez-Cordova","3000","63.20267","-145.6305","190803040302	"
"Fish Creek","477	","Oregon","SNOTEL","Harney","7660","42.70992","-118.6321","171200030107	"
"Fish Lake","478	","Washington","SNOTEL","Kittitas","3430","47.53565","-121.08553","170300010102	"
"Fish Lake Utah","1149	","Utah","SNOTEL","Sevier","8798","38.50455","-111.76693","140700030108	"
"Fish Lk.","479	","Oregon","SNOTEL","Jackson","4660","42.3801","-122.34943","171003070801	"
"Fisher Creek","480	","Montana","SNOTEL","Park","9100","45.06235","-109.94488","100700060202	"
"Five Points Lake","481	","Utah","SNOTEL","Duchesne","10943","40.71785","-110.46721","140600030701	"
"Flattop Mtn.","482	","Montana","SNOTEL","Flathead","6300","48.80225","-113.85713","170102070501	"
"Flower Mountain","1285	","Alaska","SNOTEL","Haines","2510","59.39617","-136.28123","190103031206	"
"Fool Creek","1186	","Colorado","SNOTEL","Grand","11150","39.8687","-105.8675","140100010203	"
"Ford Dry Lake","2184	","California","SCAN","Riverside","394","33.6547","-115.09763","181001005405	"
"Forestdale Creek","1049	","California","SNOTEL","Alpine","8017","38.68245","-119.9597","160502010301	"
"Fort Assiniboine #1","2019	","Montana","SCAN","Hill","2710","48.48333","-109.8","100500040103	"
"Fort Reno #1","2022	","Oklahoma","SCAN","Canadian","1400","35.55","-98.01667","111003010606	"
"Fort Valley","1121	","Arizona","SNOTEL","Coconino","7350","35.26806","-111.74486","150200150102	"
"Fort Yukon","961	","Alaska","SNOTEL","Yukon-Koyukuk","430","66.5705","-145.24553","190705062100	"
"Fortuna","2122	","Puerto Rico","SCAN","Juana Diaz","93","18.02502","-66.5279","210100040313	"
"Fourmile Lake","483	","Oregon","SNOTEL","Klamath","5970","42.43933","-122.2288","180102030202	"
"Franklin Basin","484	","Idaho","SNOTEL","Franklin","8140","42.0505","-111.6012","160102020501	"
"Fredonyer Peak","1277	","California","SNOTEL","Lassen","7208","40.68799","-120.60805","180800030304	"
"Fremont Pass","485	","Colorado","SNOTEL","Summit","11400","39.37991","-106.19681","140100020301	"
"French Gulch","2218	","California","SCAN","Shasta","3704","40.79361","-122.55083","180201540102	"
"Frisco Divide","486	","New Mexico","SNOTEL","Catron","8000","33.73646","-108.94502","150400040303	"
"Frohner Meadow","487	","Montana","SNOTEL","Jefferson","6480","46.43545","-112.19277","100301011305	"
"Fry","488	","Arizona","SNOTEL","Coconino","7200","35.07297","-111.84374","150602020501	"
"Fry Canyon","1262	","Nevada","SNOTEL","Elko","6798","41.57022","-115.93645","160401020101	"
"Galena","489	","Idaho","SNOTEL","Blaine","7470","43.87722","-114.6725","170402190101	"
"Galena Summit","490	","Idaho","SNOTEL","Blaine","8780","43.87497","-114.71363","170402190101	"
"Gallegos Peak","491	","New Mexico","SNOTEL","Taos","9800","36.19446","-105.55795","130201010502	"
"Garden City Summit","1114	","Utah","SNOTEL","Cache","7705","41.9215","-111.4693","160102010106	"
"Gardner Peak","1066	","Utah","SNOTEL","Washington","8322","37.40083","-113.45988","150100080701	"
"Garfield R.S.","492	","Idaho","SNOTEL","Blaine","6560","43.6104","-113.9308","170402210301	"
"Garita Peak","1173	","New Mexico","SNOTEL","Rio Arriba","10160","36.005","-106.54838","130202020201	"
"Garver Creek","918	","Montana","SNOTEL","Lincoln","4250","48.97523","-115.81915","170101030202	"
"GBRC HQ","1221	","Utah","SNOTEL","Sanpete","8801","39.32019","-111.48827","160300040307	"
"GBRC Meadows","1222	","Utah","SNOTEL","Sanpete","9858","39.30229","-111.45383","160300040307	"
"Geneva #1","2011	","New York","SCAN","Ontario","725","42.88333","-77.03333","041402010904	"
"George Creek","1151	","Utah","SNOTEL","Box Elder","8964","41.91562","-113.41154","170402100401	"
"Gerber Reservoir","945	","Oregon","SNOTEL","Klamath","4890","42.2062","-121.1334","180102040508	"
"Giveout","493	","Idaho","SNOTEL","Bear Lake","6930","42.4132","-111.1663","160102010401	"
"Glacial Ridge","2050	","Minnesota","SCAN","Polk","1125","47.71667","-96.26667","090203030503	"
"Glen Cove","1057	","Colorado","SNOTEL","Teller","11460","38.87583","-105.07367","110200030201	"
"Gobblers Knob","962	","Alaska","SNOTEL","Yukon-Koyukuk","2030","66.745","-150.6675","190901020403	"
"Golconda","1195	","Nevada","SNOTEL","Humboldt","6616","40.88358","-117.58812","160401080102	"
"Gold Axe Camp","1159	","Washington","SNOTEL","Okanogan","5360","48.9516","-118.9864","170200021204	"
"Gold Center","494	","Oregon","SNOTEL","Grant","5410","44.7638","-118.3117","170702020202	"
"Gold Mountain","1256	","Washington","SNOTEL","Ferry","4390","48.18934","-118.4559","170200011703	"
"Goodwin Ck Pasture","2024	","Mississippi","SCAN","Panola","320","34.25","-89.86667","080302030403	"
"Goodwin Ck Timber","2025	","Mississippi","SCAN","Panola","320","34.23333","-89.9","080302030402	"
"Gooseberry RS","495	","Utah","SNOTEL","Sevier","7944","38.80034","-111.68333","160300030405	"
"Gooseberry RS Up","1184	","Utah","SNOTEL","Sevier","8396","38.7882","-111.68892","160300030405	"
"Goshute","2165	","Utah","SCAN","Tooele","5487","39.99003","-114.00025","160203060808	"
"Graham Guard Sta.","496	","Idaho","SNOTEL","Elmore","5690","43.9538","-115.27387","170501110303	"
"Grand Targhee","1082	","Wyoming","SNOTEL","Teton","9260","43.77933","-110.92783","170402040202	"
"Grandview","956	","Alaska","SNOTEL","Kenai Peninsula","1100","60.60832","-149.06313","190203021001	"
"Granite Creek","497	","Wyoming","SNOTEL","Teton","6770","43.34298","-110.43495","170401030304	"
"Granite Crk","963	","Alaska","SNOTEL","Southeast Fairbanks","1240","63.94382","-145.39993","190803031306	"
"Granite Peak","498	","Nevada","SNOTEL","Humboldt","8503","41.67032","-117.56668","160401090601	"
"Grantsville","2152	","Utah","SCAN","Tooele","4337","40.59089","-112.39258","160203040503	"
