"phiid","peiid","pedon_id","hzname","dspcomplayerid","hzdept","hzdepb","bounddistinct","boundtopo","claytotest","silttotest","sandtotest","clay","silt","sand","fragvoltot","texture","texcl","lieutex","phfield","effclass","labsampnum","rupresblkdry","rupresblkmst","rupresblkcem","stickiness","plasticity","ksatpedon","texture_class","hzID","d_hue","d_value","d_chroma","dry_soil_color","d_r","d_g","d_b","d_sigma","m_hue","m_value","m_chroma","moist_soil_color","m_r","m_g","m_b","m_sigma","soil_color","fine_gravel","gravel","cobbles","stones","boulders","channers","flagstones","parafine_gravel","paragravel","paracobbles","parastones","paraboulders","parachanners","paraflagstones","unspecified","total_frags_pct_nopf","total_frags_pct","art_fgr","art_gr","art_cb","art_st","art_by","art_ch","art_fl","art_unspecified","total_art_pct","huartvol_cohesive","huartvol_penetrable","huartvol_innocuous","huartvol_persistent"
"2419366","542153","2012CA6303021","Cr","Cr",62,71,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","10808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2419367","542154","2012CA6303023N","A","A",0,8,"clear","smooth",14,NA,39,14,47,39,0,"L","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"l","10809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2419368","542154","2012CA6303023N","Bt1","Bt1",8,47,NA,NA,17,NA,38,17,45,38,0,"L","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"l","10810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2419369","542154","2012CA6303023N","Bt2","Bt2",47,73,NA,NA,18,NA,32,18,50,32,0,"L","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"l","10811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2419370","542154","2012CA6303023N","Cr","Cr",73,98,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","10812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865788","620521","11DEB019","A","A",0,2,"abrupt","smooth",12,NA,40,12,48,40,10,"L","l",NA,NA,NA,NA,"soft","very friable",NA,"slightly sticky","nonplastic",NA,"l","11102","10YR",5,4,"#93754FFF",0.576470588235294,0.458823529411765,0.309803921568627,NA,"10YR",3,3,"#58432CFF",0.345098039215686,0.262745098039216,0.172549019607843,NA,"#58432CFF",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865789","620521","11DEB019","Bt1","Bt1",2,12,"gradual","smooth",25,NA,41,25,34,41,20,"GR-L","l",NA,NA,NA,NA,"soft","friable",NA,"moderately sticky","slightly plastic",NA,"l","11103","7.5YR",5,6,"#A2703FFF",0.635294117647059,0.43921568627451,0.247058823529412,NA,"7.5YR",3,4,"#604026FF",0.376470588235294,0.250980392156863,0.149019607843137,NA,"#604026FF",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865790","620521","11DEB019","Bt2","Bt2",12,35,"abrupt","wavy",25,NA,35,25,40,35,10,"L","l",NA,NA,NA,NA,"slightly hard","firm",NA,"moderately sticky","slightly plastic",NA,"l","11104","7.5YR",6,6,"#BD8A58FF",0.741176470588235,0.541176470588235,0.345098039215686,NA,"7.5YR",4,6,"#855628FF",0.52156862745098,0.337254901960784,0.156862745098039,NA,"#855628FF",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865791","620521","11DEB019","Bt3","Bt2",35,50,"abrupt","smooth",27,NA,25,27,48,25,65,"GRX-CL","cl",NA,NA,NA,NA,"slightly hard","firm",NA,"moderately sticky","moderately plastic",NA,"cl","11105","7.5YR",6,6,"#BD8A58FF",0.741176470588235,0.541176470588235,0.345098039215686,NA,"7.5YR",5,6,"#A2703FFF",0.635294117647059,0.43921568627451,0.247058823529412,NA,"#A2703FFF",0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865792","620521","11DEB019","2Bt4","Bt2",50,68,"clear","wavy",48,NA,20,48,32,20,5,"C","c",NA,NA,NA,NA,"hard","very firm",NA,"nonsticky","very plastic",NA,"c","11106","7.5YR",4,4,"#7D593AFF",0.490196078431373,0.349019607843137,0.227450980392157,NA,"7.5YR",4,6,"#855628FF",0.52156862745098,0.337254901960784,0.156862745098039,NA,"#855628FF",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865793","620521","11DEB019","2Crt","Cr",68,85,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","11107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865794","620521","11DEB019","2R","R",85,200,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","11108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865795","620522","11DEB052","A","A",0,3,"abrupt","smooth",15,NA,25,15,60,25,8,"SIL","sil",NA,NA,NA,NA,"soft","very friable",NA,"slightly sticky","slightly plastic",NA,"sil","11109",NA,NA,NA,NA,NA,NA,NA,NA,"5YR",3,4,"#633F2AFF",0.388235294117647,0.247058823529412,0.164705882352941,NA,"#633F2AFF",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865796","620522","11DEB052","Bt1","Bt1",3,18,"gradual","smooth",20,NA,25,20,55,25,8,"SIL","sil",NA,NA,NA,NA,"moderately hard","firm",NA,"slightly sticky","moderately plastic",NA,"sil","11110",NA,NA,NA,NA,NA,NA,NA,NA,"2.5YR",3,4,"#663D2EFF",0.4,0.23921568627451,0.180392156862745,NA,"#663D2EFF",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865797","620522","11DEB052","Bt2","Bt2",18,50,"clear","wavy",33,NA,15,33,52,15,20,"ST-SICL","sicl",NA,6.30000019073486,NA,NA,"moderately hard","firm",NA,"moderately sticky","very plastic",NA,"sicl","11111",NA,NA,NA,NA,NA,NA,NA,NA,"2.5YR",3,6,"#703720FF",0.43921568627451,0.215686274509804,0.125490196078431,NA,"#703720FF",0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865798","620522","11DEB052","2Bt3","Bt2",50,66,"clear","wavy",35,NA,25,35,40,25,27,"CB-CL","cl",NA,NA,NA,NA,"very hard","very firm",NA,"slightly sticky","very plastic",NA,"cl","11112",NA,NA,NA,NA,NA,NA,NA,NA,"7.5YR",4,6,"#855628FF",0.52156862745098,0.337254901960784,0.156862745098039,NA,"#855628FF",0,15,10,2,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"2865799","620522","11DEB052","2Bt4","Bt2",66,80,"abrupt","wavy",42,NA,25,42,33,25,27,"CB-C","c",NA,NA,NA,NA,"very hard","very firm",NA,"nonsticky","very plastic",NA,"c","11113",NA,NA,NA,NA,NA,NA,NA,NA,"10YR",6,4,"#AE9068FF",0.682352941176471,0.564705882352941,0.407843137254902,NA,"#AE9068FF",0,15,10,2,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
