upedonid,pedlabsampnum,state,climstaid,climstanm,climstatype
S2013NV007903,14N0338,Nevada,1244,Pole Canyon,SNOTEL
S2009NV027001,10N0150,Nevada,2170,Porter Canyon,SNOTEL
S07UT007001,07N0492,Utah,2132,Price,SCAN
S09NV003005,10N0513,Nevada,1110,Rainbow Canyon,SNOTEL
S2012UT043001,13N57559,Utah,1225,Redden Mine LWR,SNOTEL
S2012UT043001,13N57559,Utah,1225,Redden Mine LWR,SNOTEL
S2012UT023001,13N57547,Utah,1217,Rees Flat,SNOTEL
S2009UT053001,10N0508,Utah,2159,Sand Hollow,SCAN
S2014NV033004,15N0487,Nevada,1205,Silver Creek NV,SNOTEL
S2013NV007901,14N0336,Nevada,1235,Smith Creek,SNOTEL
S2014NV007043,15N0481,Nevada,1208,Snowstorm Mountain,SNOTEL
S09UT009001,10N0510,Utah,1117,Spirit Lk,SNOTEL
S2009UT047002,10N0507,Utah,2154,Split Mountain,SCAN
S2009UT025001,09N1050,Utah,2158,Spooky,SCAN
S10UT031001,11N0379,Utah,1156,Squaw Springs,SNOTEL
S2014NV007032,15N0479,Nevada,1203,Stag Mountain,SNOTEL
S2013UT017001,14N0332,Utah,1249,Sunflower Flat,SNOTEL
S2013UT021001,14N0333,Utah,1248,SUU Ranch,SNOTEL
S2013UT023001,14N0334,Utah,1247,Takka Wiiya,SNOTEL
S2014NV007044,15N0482,Nevada,1201,Tent Mtn Upper,SNOTEL
S2012UT039005,13N57556,Utah,1226,Thistle Flat,SNOTEL
S2009NV007001,09N1042,Nevada,1136,Toe Jam,SNOTEL
S2009UT005001,09N1046,Utah,1113,Tony Grove RS,SNOTEL
04NV003009,05N0127,NV,2142,Trough Springs,SCAN
S11CA061001,12N7847,California,834,Truckee #2,SNOTEL
S2009UT027001,10N0503,Utah,2163,Tule Valley,SCAN
S2012UT015001,13N57545,Utah,1227,Upper Joes Valley,SNOTEL
S11NV033003,12N7851,Nevada,1137,Vaccaro Springs,SNOTEL
S2009UT025002,09N1051,Utah,2162,Vermillion,SCAN
S2010CA051001,11N0373,California,846,Virginia Lakes Ridge,SNOTEL
S2014UT021002,15N0473,Utah,853,Webster Flat,SNOTEL
S2010NV033001,11N0371,Nevada,1147,Wheeler Peak,SNOTEL
S2014NV033001,15N0484,Nevada,1213,White River NV,SNOTEL
S2012UT039002,13N57553,Utah,1228,Wrigley Creek,SNOTEL
S2012UT021001,13N57546,Utah,1197,Yankee Reservoir,SNOTEL
