"pedon_key","stationTriplet","Site","stateCode","Network","Name","dcoCode","countyName","HUC","Elevation_ft","Latitude","Longitude","dataTimeZone","shefId","beginDate","endDate","upedonid","pedlabsampnum","State"
"34783","361:OR:SNTL","361","OR","SNTL","Bourne","OR","Baker","170502030101",5850,44.83052,-118.18787,-8,"BORO3","1978-10-01 00:00","2100-01-01 00:00","S2007OR001001","08N0356","Oregon"
"30508","2078:AL:SCAN","2078","AL","SCAN","Bragg Farm","GC","Madison","060300020306",798,34.89375,-86.60236,-6,"BRAA1","2003-08-25 00:00","2100-01-01 00:00","S2003AL089005","03N0926","Alabama"
"73382","1154:UT:SNTL","1154","UT","SNTL","Brian Head","UT","Iron","160300060201",10039,37.67994,-112.85674,-8,"BRHU1","2011-10-01 00:00","2100-01-01 00:00","S2014UT021003","15N0474","Utah"
"43936","1111:NV:SNTL","1111","NV","SNTL","Bristlecone Trail","UT","Clark","150100150206",8890,36.31575,-115.69543,-8,"BRSN2","2008-10-01 00:00","2100-01-01 00:00","S09NV003004","10N0512","Nevada"
"70255","2177:AL:SCAN","2177","AL","SCAN","Broad Acres","GC","Montgomery","031501100803",269,32.28393,-86.05253,-6,"BDAA1","2010-04-12 00:00","2100-01-01 00:00","S10AL101001","10N1241","Alabama"
"43925","368:UT:SNTL","368","UT","SNTL","Brown Duck","UT","Duchesne","140600030604",10574,40.58102,-110.58587,-8,"BNDU1","1978-10-01 00:00","2100-01-01 00:00","S2009UT013003","10N0501","Utah"
"50405","1080:WA:SNTL","1080","WA","SNTL","Brown Top","OR","Whatcom","171100050601",5830,48.92755,-121.19713,-8,"BRTW1","2009-09-15 00:00","2100-01-01 00:00","S2009WA073101","10N0842","Washington"
"69953","1192:UT:SNTL","1192","UT","SNTL","Buck Pasture","UT","Summit","140401070301",9632,40.84456,-110.66068,-8,"BCZU1","2011-11-23 00:00","2100-01-01 00:00","S2012UT043002","13N57560","Utah"
"69944","1153:UT:SNTL","1153","UT","SNTL","Buckboard Flat","UT","San Juan","140802030103",8924,37.86943,-109.44717,-8,"BUCU1","2012-10-01 00:00","2100-01-01 00:00","S2012UT037002","13N57551","Utah"
"39574","1107:WA:SNTL","1107","WA","SNTL","Buckinghorse","OR","Jefferson","171100200501",4870,47.7086,-123.45747,-8,"BKHW1","2008-06-19 00:00","2100-01-01 00:00","2008WA031101","09N0409","Washington"
"40642","2151:UT:SCAN","2151","UT","SCAN","Buffalo Jump","GC","Rich","160101010403",6682,41.34363,-111.18798,-7,"BFJU1","2009-08-26 00:00","2100-01-01 00:00","S2009UT033001","09N1054","Utah"
"66107","1051:CA:SNTL","1051","CA","SNTL","Burnside Lake","UT","Alpine","160502010107",8129,38.71943,-119.8942,-8,"BSKC1","2003-10-01 00:00","2100-01-01 00:00","S2010CA003002","11N0375","California"
"30551","942:WA:SNTL","942","WA","SNTL","Burnt Mountain","OR","Pierce","171100140103",4170,47.0444,-121.94032,-8,"BUSW1","1999-07-01 00:00","2100-01-01 00:00","03WA053001","04N0032","Washington"
"18826","2006:TX:SCAN","2006","TX","SCAN","Bushland #1","GC","Randall","111201020301",3820,35.16667,-102.1,-6,"BUST2","1993-10-01 00:00","2100-01-01 00:00","91TX381001","92P0203","Texas"
"34629","2136:UT:SCAN","2136","UT","SCAN","Cache Junction","GC","Cache","160102020706",4425,41.81568,-111.98043,-7,"CAJU1","2007-09-13 00:00","2100-01-01 00:00","S07UT005-001","08N0136","Utah"
"53325","387:CO:SNTL","387","CO","SNTL","Cascade #2","CO","San Juan","140801040201",9012,37.65751,-107.80287,-8,"CADC2","1990-09-30 00:00","2100-01-01 00:00","S2009CO111001","10N0840","Colorado"
"52446","1130:WY:SNTL","1130","WY","SNTL","Castle Creek","MT","Fremont","100800010401",8400,43.6748,-109.3774,-8,"CCSW4","2010-08-18 00:00","2100-01-01 00:00","S2010WY056001","10N1353","Wyoming"
"70324","1152:NV:SNTL","1152","NV","SNTL","Cave Mountain","UT","White Pine","160600080402",10578,39.16337,-114.6133,-8,"CAVN2","2011-10-01 00:00","2100-01-01 00:00","S11NV033002","12N7850","Nevada"
"43933","2161:UT:SCAN","2161","UT","SCAN","Cave Valley","GC","Washington","150100080503",6273,37.35524,-113.12341,-7,"CAVU1","2010-04-12 00:00","2100-01-01 00:00","2014UT0531053","10N0509","Utah"
"31338","2094:KS:SCAN","2094","KS","SCAN","Centralia Lake","GC","Nemaha","102702050303",1302,39.70045,-96.1629,-6,"CTRK1","2004-06-24 13:00","2100-01-01 00:00","04KS131100","04N0874","Kansas"
"72032","2213:AK:SCAN","2213","AK","SCAN","Checkers Creek","AK","Nome","190501050503",326,65.403,-164.711,-9,"CECA2","2014-09-11 00:00","2100-01-01 00:00","S2014AK180002","15N0704","Alaska"
"31219","395:OR:SNTL","395","OR","SNTL","Chemult Alternate","OR","Klamath","180102010201",4850,43.22625,-121.80662,-8,"CHUO3","1979-10-01 00:00","2100-01-01 00:00","03OR035017","04N0391","Oregon"
"40640","2150:UT:SCAN","2150","UT","SCAN","Chicken Ridge","GC","Morgan","160201010603",7649,41.33136,-111.3036,-7,"CKRU1","2009-08-25 00:00","2100-01-01 00:00","S2009UT029001","09N1052","Utah"
"34108","2125:UT:SCAN","2125","UT","SCAN","Circleville","GC","Piute","160300010604",6120,38.15133,-112.25122,-7,"CLZU1","2007-05-08 00:00","2100-01-01 00:00","S07UT031001","07N0489","Utah"
"17221","401:OR:SNTL","401","OR","SNTL","Clear Lake","OR","Wasco","170703060901",3810,45.18832,-121.6916,-8,"CLKO3","1979-10-01 00:00","2100-01-01 00:00","S1990WI125001","90P0906","Oregon"
"17224","402:WY:SNTL","402","WY","SNTL","Cloud Peak Reservoir","MT","Johnson","100902060301",9860,44.40328,-107.06074,-8,"CPKW4","1978-10-01 00:00","2100-01-01 00:00","S1990WI125004","90P0909","Wyoming"
"39520","403:MT:SNTL","403","MT","SNTL","Clover Meadow","MT","Madison","100200070803",8600,45.01788,-111.8456,-8,"CMDM8","1971-10-01 00:00","2100-01-01 00:00","S08MT057-002","09N0214","Montana"
